env_steps,return,restorations,length,FPS,time
7900,-910.0,50,100,68.2963,1.4642
8000,-954.0,46,100,66.8524,1.4958
8100,-802.0,45,100,68.543,1.4589
8200,-888.0,43,100,66.9368,1.4939
8300,-1096.0,64,100,65.0948,1.5362
8400,-855.0,39,100,65.683,1.5225
8500,-831.0,45,100,64.9798,1.5389
8600,-902.0,63,100,64.7616,1.5441
8700,-903.0,51,100,65.4567,1.5277
8800,-980.0,45,100,66.0126,1.5149
8900,-733.0,48,100,67.0009,1.4925
9000,-831.0,55,100,66.0456,1.5141
9100,-866.0,49,100,66.823,1.4965
9200,-858.0,50,100,66.9866,1.4928
9300,-1174.0,64,100,66.9025,1.4947
9400,-903.0,53,100,67.0704,1.491
9500,-896.0,56,100,66.803,1.4969
9600,-905.0,45,100,67.015,1.4922
9700,-849.0,54,100,66.8101,1.4968
9800,-881.0,62,100,67.384,1.484
9900,-989.0,40,100,68.4462,1.461
10000,-991.0,55,100,0.0,0.503
