env_steps,return,invalid_actions,length,FPS,time
11900,-9.9,0.99,100,29.9908,3.3344
12000,-9.5,0.95,100,0.0,0.4997
12100,-9.7,0.97,100,29.8279,3.3526
12200,-9.5,0.95,100,29.569,3.3819
12300,-9.3,0.93,100,28.2722,3.537
12400,-9.6,0.96,100,28.4167,3.5191
12500,-9.9,0.99,100,30.8374,3.2428
12600,-10.0,1.0,100,31.2235,3.2027
12700,-9.7,0.97,100,30.3432,3.2956
12800,-9.6,0.96,100,30.5694,3.2712
12900,-9.9,0.99,100,31.1848,3.2067
13000,-9.5,0.95,100,0.0,0.4014
13100,-9.7,0.97,100,30.8742,3.239
13200,-9.8,0.98,100,31.1529,3.21
13300,-9.7,0.97,100,30.6459,3.2631
13400,-9.6,0.96,100,31.1072,3.2147
13500,-9.7,0.97,100,30.9691,3.229
13600,-9.4,0.94,100,31.1042,3.215
13700,-9.8,0.98,100,30.9863,3.2272
13800,-9.4,0.94,100,31.2581,3.1992
13900,-9.4,0.94,100,28.565,3.5008
14000,-9.4,0.94,100,0.0,0.4213
14100,-9.6,0.96,100,28.7032,3.4839
14200,-9.6,0.96,100,28.1869,3.5478
14300,-9.6,0.96,100,26.1082,3.8302
14400,-9.9,0.99,100,28.6832,3.4864
14500,-9.7,0.97,100,29.2771,3.4156
14600,-9.7,0.97,100,29.8549,3.3495
14700,-9.2,0.92,100,28.8389,3.4675
14800,-9.5,0.95,100,28.4688,3.5126
14900,-9.5,0.95,100,29.3797,3.4037
15000,-9.4,0.94,100,0.0,0.4181
15100,-9.4,0.94,100,28.9058,3.4595
15200,-9.5,0.95,100,30.3344,3.2966
15300,-9.2,0.92,100,29.712,3.3656
15400,-9.7,0.97,100,31.2022,3.2049
15500,-9.7,0.97,100,30.9325,3.2328
15600,-9.7,0.97,100,27.9568,3.577
15700,-9.8,0.98,100,30.6023,3.2677
15800,-9.6,0.96,100,29.4002,3.4013
15900,-9.5,0.95,100,30.853,3.2412
16000,-9.5,0.95,100,0.0,0.3939
16100,-9.1,0.91,100,31.1293,3.2124
16200,-9.7,0.97,100,31.6454,3.16
16300,-9.7,0.97,100,31.6741,3.1572
16400,-9.5,0.95,100,31.9242,3.1324
16500,-9.7,0.97,100,31.6624,3.1583
16600,-9.7,0.97,100,31.7575,3.1489
16700,-9.6,0.96,100,31.9334,3.1315
16800,-9.5,0.95,100,31.4971,3.1749
16900,-9.6,0.96,100,31.7641,3.1482
17000,-9.6,0.96,100,0.0,0.3934
17100,-9.7,0.97,100,31.4881,3.1758
17200,-9.5,0.95,100,32.2244,3.1032
17300,-9.5,0.95,100,30.8532,3.2412
17400,-9.2,0.92,100,31.7089,3.1537
17500,-9.7,0.97,100,31.2434,3.2007
17600,-9.0,0.9,100,31.5263,3.172
17700,-9.7,0.97,100,31.6018,3.1644
17800,-9.5,0.95,100,31.7985,3.1448
17900,-9.8,0.98,100,31.7027,3.1543
18000,-9.1,0.91,100,0.0,0.3957
18100,-9.5,0.95,100,29.8863,3.346
18200,-9.4,0.94,100,31.6027,3.1643
18300,-9.4,0.94,100,28.0109,3.5701
18400,-9.3,0.93,100,28.9909,3.4494
18500,-9.5,0.95,100,30.5277,3.2757
18600,-9.6,0.96,100,30.7073,3.2566
18700,-9.3,0.93,100,29.7364,3.3629
18800,-9.8,0.98,100,30.6528,3.2623
18900,-9.1,0.91,100,30.6746,3.26
19000,-9.2,0.92,100,0.0,0.407
19100,-9.5,0.95,100,28.0427,3.566
19200,-10.0,1.0,100,26.323,3.799
19300,-8.9,0.89,100,28.85,3.4662
19400,-9.6,0.96,100,27.6079,3.6222
19500,-8.8,0.88,100,29.3057,3.4123
19600,-9.8,0.98,100,28.6618,3.489
19700,-9.5,0.95,100,29.22,3.4223
19800,-9.6,0.96,100,26.897,3.7179
19900,-9.3,0.93,100,26.9573,3.7096
20000,-9.6,0.96,100,0.0,0.4028
20100,-9.7,0.97,100,30.5305,3.2754
20200,-9.3,0.93,100,30.5617,3.2721
20300,-9.8,0.98,100,30.735,3.2536
20400,-8.9,0.89,100,30.6644,3.2611
20500,-8.8,0.88,100,30.4971,3.279
20600,-9.5,0.95,100,30.9778,3.2281
20700,-7.8,0.84,100,28.6167,3.4945
20800,-9.5,0.95,100,29.7031,3.3667
20900,-9.7,0.97,100,30.3242,3.2977
21000,-9.6,0.96,100,0.0,0.4731
21100,-9.3,0.93,100,28.065,3.5632
21200,-9.5,0.95,100,28.4091,3.52
21300,-9.2,0.92,100,29.1193,3.4342
21400,-9.8,0.98,100,29.7807,3.3579
21500,-9.7,0.97,100,31.1824,3.2069
21600,-9.5,0.95,100,30.7944,3.2473
21700,-9.6,0.96,100,30.411,3.2883
21800,-9.4,0.94,100,31.0566,3.2199
21900,-9.1,0.91,100,30.9825,3.2276
22000,-9.1,0.91,100,0.0,0.4032
22100,-8.9,0.89,100,30.667,3.2608
22200,-9.6,0.96,100,30.5772,3.2704
22300,-9.8,0.98,100,30.8033,3.2464
22400,-9.5,0.95,100,30.6134,3.2665
22500,-9.2,0.92,100,28.566,3.5007
22600,-9.4,0.94,100,29.0204,3.4459
22700,-9.6,0.96,100,27.7712,3.6009
22800,-9.5,0.95,100,26.2186,3.8141
22900,-9.2,0.92,100,27.054,3.6963
23000,-9.5,0.95,100,0.0,0.4237
23100,-9.2,0.92,100,29.4879,3.3912
23200,-9.2,0.92,100,24.7814,4.0353
23300,-9.4,0.94,100,27.7925,3.5981
23400,-9.5,0.95,100,28.3921,3.5221
23500,-9.5,0.95,100,28.1642,3.5506
23600,-9.2,0.92,100,27.0911,3.6913
23700,-9.2,0.92,100,27.9476,3.5781
23800,-9.6,0.96,100,28.3681,3.5251
23900,-9.4,0.94,100,27.5259,3.6329
24000,-9.7,0.97,100,0.0,0.4075
24100,-9.3,0.93,100,30.6233,3.2655
24200,-9.4,0.94,100,30.6007,3.2679
24300,-9.6,0.96,100,30.8573,3.2407
24400,-9.2,0.92,100,30.7041,3.2569
24500,-9.4,0.94,100,30.7348,3.2536
24600,-9.2,0.92,100,30.8594,3.2405
24700,-9.6,0.96,100,30.7242,3.2548
24800,-9.8,0.98,100,28.7654,3.4764
24900,-9.5,0.95,100,30.6371,3.264
25000,-9.7,0.97,100,0.0,0.41
25100,-9.1,0.91,100,30.4921,3.2795
25200,-9.1,0.91,100,31.0182,3.2239
25300,-9.5,0.95,100,31.436,3.1811
25400,-9.5,0.95,100,31.3117,3.1937
25500,-9.5,0.95,100,31.3357,3.1913
25600,-8.9,0.91,100,31.3357,3.1912
25700,-9.4,0.94,100,31.6817,3.1564
25800,-9.5,0.95,100,30.9356,3.2325
25900,-9.8,0.98,100,31.3409,3.1907
26000,-9.6,0.96,100,0.0,0.4263
26100,-9.2,0.92,100,30.8618,3.2402
26200,-9.2,0.92,100,30.3988,3.2896
26300,-9.5,0.95,100,30.9392,3.2321
26400,-8.9,0.89,100,30.6026,3.2677
26500,-9.4,0.94,100,31.0533,3.2203
